database_id,chemical_shift_x,chemical_shift_y,intensity
HMDB0000045,4.795,6.107,NA
HMDB0000045,4.795,6.116,NA
HMDB0000045,4.604,4.822,NA
HMDB0000045,4.552,4.822,NA
HMDB0000045,4.518,4.031,NA
HMDB0000045,4.518,4.376,NA
HMDB0000045,4.518,4.519,NA
HMDB0000045,4.518,4.795,NA
HMDB0000045,4.518,6.107,NA
HMDB0000045,4.518,6.116,NA
HMDB0000045,4.38,4.793,NA
HMDB0000045,4.376,4.033,NA
HMDB0000045,4.376,4.376,NA
HMDB0000045,4.376,4.519,NA
HMDB0000045,4.033,4.034,NA
HMDB0000045,4.032,4.376,NA
HMDB0000045,4.032,4.518,NA
HMDB0000048,5.2372,94.694,0.3423894752
HMDB0000048,4.9475,100.5039,1.0
HMDB0000048,4.6686,98.693,0.4212420813
HMDB0000048,4.0022,72.6616,0.2034329348
HMDB0000048,3.7233,75.6043,0.4776770763
HMDB0000048,3.716,74.397,0.4320355976
HMDB0000048,3.6327,76.887,0.2820333229
HMDB0000048,3.4806,78.547,0.2720782901
HMDB0000048,3.2488,76.6606,0.4031899965
HMDB0000048,3.5494,74.0198,0.6242925422
HMDB0000048,3.5132,72.058,0.4562825107
HMDB0000048,3.4227,72.058,0.5242680204
HMDB0000048,3.9514,68.2098,0.222289441
HMDB0000048,3.7522,68.2098,0.2390398596
HMDB0000048,3.6943,68.2098,0.1155575953
HMDB0000048,3.8428,63.0036,0.2490362301
HMDB0000048,3.7595,63.0036,0.302504143
HMDB0000050,8.3009,143.3121,1.0
HMDB0000050,8.1769,155.2876,0.928422028
HMDB0000050,6.032,91.0587,0.8441120647
HMDB0000050,4.4252,73.4682,0.7669328152
HMDB0000050,4.2859,88.594,0.850402067
HMDB0000050,3.9089,64.3839,0.5773483425
HMDB0000050,3.8562,64.3839,0.5565947087
HMDB0000050,8.303,8.296,NA
HMDB0000050,8.294,8.277,NA
HMDB0000050,8.175,8.169,NA
HMDB0000050,6.06,4.754,NA
HMDB0000050,6.054,4.4,NA
HMDB0000050,6.042,6.033,NA
HMDB0000050,6.042,6.044,NA
HMDB0000050,4.801,4.761,NA
HMDB0000050,4.777,4.426,NA
HMDB0000050,4.776,6.033,NA
HMDB0000050,4.776,6.044,NA
HMDB0000050,4.775,4.294,NA
HMDB0000050,4.432,4.758,NA
HMDB0000050,4.424,4.293,NA
HMDB0000050,4.424,4.426,NA
HMDB0000050,4.424,6.032,NA
HMDB0000050,4.424,6.044,NA
HMDB0000050,4.422,3.905,NA
HMDB0000050,4.421,3.851,NA
HMDB0000050,4.296,6.043,NA
HMDB0000050,4.294,6.033,NA
HMDB0000050,4.292,3.939,NA
HMDB0000050,4.292,4.292,NA
HMDB0000050,4.292,4.426,NA
HMDB0000050,4.292,4.765,NA
HMDB0000050,4.291,3.82,NA
HMDB0000050,4.291,3.851,NA
HMDB0000050,4.291,3.905,NA
HMDB0000050,3.912,3.815,NA
HMDB0000050,3.912,3.854,NA
HMDB0000050,3.911,3.934,NA
HMDB0000050,3.911,4.426,NA
HMDB0000050,3.91,4.292,NA
HMDB0000050,3.909,3.907,NA
HMDB0000050,3.85,3.94,NA
HMDB0000050,3.844,3.851,NA
HMDB0000050,3.843,4.292,NA
HMDB0000050,3.842,3.905,NA
HMDB0000050,3.838,3.822,NA
HMDB0000050,3.838,4.425,NA
HMDB0000052,6.5098,137.973,0.0476087486
HMDB0000052,4.2467,57.733,0.5591447073
HMDB0000052,3.7624,56.9289,0.7544044211
HMDB0000052,3.2729,43.2978,1.0
HMDB0000052,2.8153,43.1539,0.0372022772
HMDB0000052,2.5274,43.1542,0.2450465577
